DiaMesAno,HoraMinutosSegundos,Longitude,Latitude,Velocidade,Altitude,Satelites,AccX,AccY
14/01/2016,19-23-50,-34.8504,-7.14187,6.78,57,9,0.25,0.27
14/01/2016,19-23-51,-34.8504,-7.14187,6.78,57.4,9,0.26,0.06
14/01/2016,19-23-51,-34.8504,-7.14187,6.78,57.4,9,0.33,-0.07
14/01/2016,19-23-51,-34.8504,-7.14187,6.78,57.4,9,0.06,0
14/01/2016,19-23-51,-34.8504,-7.14187,6.78,57.4,9,0.13,0.02
14/01/2016,19-23-51,-34.8504,-7.14187,6.78,57.4,9,0.17,-0.06
14/01/2016,19-23-51,-34.8504,-7.14187,6.78,57.4,9,0.13,-0.05
14/01/2016,19-23-51,-34.8504,-7.14187,6.78,57.4,9,-0.01,-0.07
14/01/2016,19-23-52,-34.8504,-7.14189,6.78,57.7,11,0.12,-0.06
14/01/2016,19-23-52,-34.8504,-7.14189,6.78,57.7,11,0.13,0
14/01/2016,19-23-52,-34.8504,-7.1419,5.54,57.7,11,0.07,0.16
14/01/2016,19-23-52,-34.8504,-7.1419,5.54,57.7,11,0.02,0.05
14/01/2016,19-23-52,-34.8504,-7.1419,5.54,57.7,11,0.09,0.09
14/01/2016,19-23-52,-34.8504,-7.1419,5.54,57.7,11,0.06,0.04
14/01/2016,19-23-52,-34.85041,-7.1419,5.54,57.7,11,0.14,-0.11
14/01/2016,19-23-52,-34.85041,-7.1419,5.54,57.7,11,0.14,0
14/01/2016,19-23-52,-34.85041,-7.1419,5.54,57.7,11,0.14,-0.05
14/01/2016,19-23-52,-34.85041,-7.1419,5.54,57.7,11,0.12,0.02
14/01/2016,19-23-53,-34.85041,-7.14191,7.15,57.7,11,-0.01,0.08
14/01/2016,19-23-53,-34.85041,-7.14191,7.15,57.7,11,0.07,-0.1
14/01/2016,19-23-53,-34.85041,-7.14191,7.15,57.7,11,0.07,-0.16
14/01/2016,19-23-53,-34.85041,-7.14191,7.15,57.7,11,-0.02,-0.05
14/01/2016,19-23-54,-34.85043,-7.14192,7.15,57.4,11,0.05,0.07
14/01/2016,19-23-54,-34.85043,-7.14192,7.15,57.4,11,0.07,0.11
14/01/2016,19-23-54,-34.85043,-7.14193,7.15,57.2,11,0,0.06
14/01/2016,19-23-54,-34.85044,-7.14193,10.15,57.2,11,0.13,0.11
14/01/2016,19-23-54,-34.85044,-7.14193,10.15,57.2,11,0.21,0.05
14/01/2016,19-23-54,-34.85044,-7.14193,10.15,57.2,11,0.27,0.02
14/01/2016,19-23-54,-34.85044,-7.14193,10.15,57.2,11,0.17,0.01
14/01/2016,19-23-54,-34.85044,-7.14193,10.15,57.2,11,0.26,0.16
14/01/2016,19-23-54,-34.85044,-7.14193,10.15,57.2,11,0.3,0.22
14/01/2016,19-23-54,-34.85044,-7.14193,10.15,57.2,11,0.15,0.05
14/01/2016,19-23-55,-34.85048,-7.14194,10.15,57.2,9,0.06,0.01
14/01/2016,19-23-55,-34.85048,-7.14194,10.15,57.2,9,-0.02,0.18
14/01/2016,19-23-55,-34.85049,-7.14195,10.15,57.3,9,0.14,0.14
14/01/2016,19-23-55,-34.85049,-7.14195,10.15,57.3,9,0,0.06
14/01/2016,19-23-55,-34.85049,-7.14195,10.15,57.3,9,0.02,-0.04
14/01/2016,19-23-56,-34.85051,-7.14195,10.15,57.7,10,0.11,0.16
14/01/2016,19-23-56,-34.85051,-7.14195,10.15,57.7,10,-0.13,0.07
14/01/2016,19-23-56,-34.85051,-7.14195,10.15,57.7,10,0.13,-0.04
14/01/2016,19-23-56,-34.85051,-7.14195,10.15,57.7,10,0.3,-0.07
14/01/2016,19-23-56,-34.85053,-7.14196,10.15,58.3,11,0.21,-0.15
14/01/2016,19-23-56,-34.85053,-7.14196,10.15,58.3,11,0.09,0.21
14/01/2016,19-23-56,-34.85053,-7.14196,10.15,58.3,11,0.14,0.08
14/01/2016,19-23-56,-34.85053,-7.14196,10.15,58.3,11,0.19,-0.09
14/01/2016,19-23-56,-34.85053,-7.14196,10.15,58.3,11,0.23,0.01
14/01/2016,19-23-56,-34.85053,-7.14196,10.15,58.3,11,0.12,0.06
14/01/2016,19-23-56,-34.85053,-7.14196,10.15,58.3,11,0.17,-0.01
14/01/2016,19-23-56,-34.85053,-7.14196,10.15,58.3,11,0.14,0
14/01/2016,19-23-56,-34.85053,-7.14196,10.15,58.3,11,0.13,0.16
14/01/2016,19-23-56,-34.85053,-7.14196,10.15,58.3,11,0.1,-0.03
14/01/2016,19-23-58,-34.85061,-7.14198,24.61,58.3,11,0.23,-0.07
14/01/2016,19-23-58,-34.85061,-7.14198,24.61,58.3,11,0.32,0.2
14/01/2016,19-23-58,-34.85063,-7.14199,25.43,58.3,11,0.15,-0.02
14/01/2016,19-23-58,-34.85063,-7.14199,25.43,58.3,11,0.14,0.2
14/01/2016,19-23-58,-34.85063,-7.14199,25.43,58.3,11,0.09,-0.02
14/01/2016,19-23-59,-34.85066,-7.14199,27.13,58.3,11,0.21,0.03
14/01/2016,19-23-59,-34.85066,-7.14199,27.13,58.3,11,0.16,0.2
14/01/2016,19-23-59,-34.85066,-7.14199,27.13,58.3,11,0.32,-0.01
14/01/2016,19-23-59,-34.85069,-7.142,27.32,58.3,11,0.33,-0.05
14/01/2016,19-23-59,-34.85069,-7.142,27.32,58.3,11,0.35,0.06
14/01/2016,19-23-59,-34.85071,-7.142,27.54,58.3,11,0.29,0.05
14/01/2016,19-23-59,-34.85071,-7.142,27.54,58.3,11,0.32,0.09
14/01/2016,19-23-59,-34.85071,-7.142,27.54,58.3,11,0.38,0.11
14/01/2016,19-23-59,-34.85071,-7.142,27.54,58.3,11,0.2,-0.03
14/01/2016,19-23-59,-34.85071,-7.142,27.54,58.3,11,0.33,0.26
14/01/2016,19-23-59,-34.85071,-7.142,27.54,58.3,11,0.33,-0.08
14/01/2016,19-24-0,-34.85077,-7.14201,27.54,59,11,0.24,0.01
14/01/2016,19-24-0,-34.85077,-7.14201,27.54,59,11,0.23,0.09
14/01/2016,19-24-0,-34.85077,-7.14201,27.54,59,11,0.25,0.06
14/01/2016,19-24-0,-34.85077,-7.14201,27.54,59,11,0.19,0.07
14/01/2016,19-24-0,-34.85077,-7.14201,27.54,59,11,0.3,0.2
14/01/2016,19-24-1,-34.85083,-7.14202,27.54,58.8,11,0.25,0.05
14/01/2016,19-24-1,-34.85083,-7.14202,27.54,58.8,11,0.23,0.05
14/01/2016,19-24-1,-34.85083,-7.14202,27.54,58.8,11,0.47,0
14/01/2016,19-24-2,-34.85085,-7.14202,27.54,58.7,11,0.3,0.13
14/01/2016,19-24-2,-34.85086,-7.14203,25.26,58.7,11,-0.02,0.3
14/01/2016,19-24-2,-34.85086,-7.14203,25.26,58.7,11,0.15,0.09
14/01/2016,19-24-2,-34.85086,-7.14203,25.26,58.7,11,0.44,0.25
14/01/2016,19-24-2,-34.85086,-7.14203,25.26,58.7,11,-0.11,0.52
14/01/2016,19-24-2,-34.85086,-7.14203,25.26,58.7,11,0.36,0.2
14/01/2016,19-24-3,-34.85092,-7.14203,25.26,59,10,0.41,0.31
14/01/2016,19-24-3,-34.85092,-7.14203,25.26,59,10,0.41,0.11
14/01/2016,19-24-3,-34.85092,-7.14203,25.26,59,10,0.25,0.21
14/01/2016,19-24-3,-34.85092,-7.14203,25.26,59,10,0.18,0.11
14/01/2016,19-24-3,-34.85092,-7.14203,25.26,59,10,0.19,-0.03
14/01/2016,19-24-3,-34.85092,-7.14203,25.26,59,10,0.19,0.1
14/01/2016,19-24-3,-34.85092,-7.14203,25.26,59,10,0.25,-0.04
14/01/2016,19-24-4,-34.85098,-7.14204,25.26,58.4,11,0.11,0.11
14/01/2016,19-24-4,-34.85099,-7.14204,25.26,58.1,11,0.17,0.08
14/01/2016,19-24-4,-34.85099,-7.14204,25.26,58.1,11,0.16,0.08
14/01/2016,19-24-4,-34.85099,-7.14204,25.26,58.1,11,0.11,-0.01
14/01/2016,19-24-4,-34.85101,-7.14205,25.26,57.8,11,0.22,-0.04
14/01/2016,19-24-4,-34.85102,-7.14205,21.78,57.8,11,0.1,0.03
14/01/2016,19-24-4,-34.85102,-7.14205,21.78,57.8,11,0.34,0.06
14/01/2016,19-24-4,-34.85102,-7.14205,21.78,57.8,11,0.13,-0.02
